,Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
222,USA,9/5/2016,2016.0,Unprovoked,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,,09
223,AUSTRALIA,9/5/2016,2016.0,Unprovoked,Western Australia,Injidup ,Surfing,M,0,"No inury, board broken in half by shark",N,Late afternoon,,09
224,USA,9/4/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N,,,09
225,USA,9/1/2016,2016.0,Unprovoked,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,,"White shark, 8' to 10'",09
227,USA,8/29/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",08
228,USA,8/29/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N,14h00,,08
229,REUNION,8/27/2016,2016.0,Unprovoked,other,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m",08
230,USA,8/25/2016,2016.0,Unprovoked,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,N,16h00,,08
231,BAHAMAS,8/7/2016,2016.0,Unprovoked,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,N,,,08
232,USA,8/6/2016,2016.0,Unprovoked,Hawaii,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10' ",08
233,USA,8/4/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N,,Blacktip shark,08
234,SPAIN,7/29/2016,2016.0,Unprovoked,Alicante Province,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark,07
235,CHINA,7/28/2016,2016.0,Unprovoked,Hong Kong,other,Swimming,M,72,Lacerations to leg,N,,,07
238,AUSTRALIA,7/26/2016,2016.0,Unprovoked,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,07
239,JAPAN,7/24/2016,2016.0,Unprovoked,Kochi Prefecture,Irino Beach,Surfing,M,29,Lacerations to left leg,N,19h05,,07
240,AUSTRALIA,7/23/2016,2016.0,Unprovoked,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N,,,07
241,BAHAMAS,7/23/2016,2016.0,Unprovoked,Abaco Islands,Green Turtle Cay,Spearfishing,M,0,Lacerations to face and right leg,N,,"Bull shark, 6'",07
244,USA,7/16/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,1300,,07
245,USA,7/16/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",other,F,11,Minor injury to toes,N,11h00,,07
246,USA,7/15/2016,2016.0,Unprovoked,California,"Surfside, Orange County",Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'",07
247,USA,7/15/2016,2016.0,Unprovoked,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,0,Puncture wounds to foot,N,,,07
248,BAHAMAS,Reported  14-Jul-2016,2016.0,Unprovoked,other,Tiger Beach,Scuba Diving,M,0,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'",07
249,SPAIN,Reported 08-Jul-2016,2016.0,Unprovoked,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark,07
253,USA,7/6/2016,2016.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,07
255,USA,6/27/2016,2016.0,Unprovoked,South Carolina,Sullivan's Island,other,M,35,Minor injury,N,16h20,3' to 4' shark,06
256,USA,6/25/2016,2016.0,Unprovoked,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,N,14h34,,06
257,COLUMBIA,6/24/2016,2016.0,Unprovoked,Isla Provedencia,other,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'",06
258,SOUTH AFRICA,6/23/2016,2016.0,Unprovoked,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,N,,White shark,06
259,USA,6/21/2016,2016.0,Unprovoked,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,06
260,USA,6/21/2016,2016.0,Unprovoked,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,0,Injuries to right calf,N,14h55,,06
261,USA,6/15/2016,2016.0,Unprovoked,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,0,Single puncture wound to arm,N,06h00,3' to 4' shark,06
263,USA,6/14/2016,2016.0,Unprovoked,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,Injury to lower leg,N,17h30,3' to 4' shark,06
264,USA,6/11/2016,2016.0,Unprovoked,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Laceration to wrist,N,15h00,3' shark,06
266,USA,6/5/2016,2016.0,Unprovoked,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N,08h30,,06
267,AUSTRALIA,6/5/2016,2016.0,Unprovoked,Western Australia,Mindarie,Diving,F,60,FATAL,Y,11h30,3+ m shark,06
268,EGYPT,6/4/2016,2016.0,Unprovoked,Suez,Ain Sokhna,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark,06
269,AUSTRALIA,6/2/2016,2016.0,Unprovoked,New South Wales,Kingscliff,Spearfishing,M,0,"No injury, but sharks repeatedly hit their fins and guns",N,,Bronze whaler sharks x 3,06
270,NEW CALEDONIA,6/2/2016,2016.0,Unprovoked,other," Côte-Blanche, Nouméa ",Kite surfing,M,0,Laceration to heel,N,Afternoon,3 m shark,06
271,AUSTRALIA,5/31/2016,2016.0,Unprovoked,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y,16h00,White shark,05
272,USA,5/29/2016,2016.0,Unprovoked,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Injuries to arm and shoulder,N,16h00,,05
273,USA,5/29/2016,2016.0,Unprovoked,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark,05
274,USA,5/22/2016,2016.0,Unprovoked,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N,12h00,,05
275,USA,5/21/2016,2016.0,Unprovoked,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'",05
276,USA,5/21/2016,2016.0,Unprovoked,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N,17h46,,05
277,USA,5/18/2016,2016.0,Unprovoked,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'",05
279,USA,5/3/2016,2016.0,Unprovoked,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N,15h49,,05
281,INDONESIA,4/25/2016,2016.0,Unprovoked,Bali,Balian,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6'",04
282,USA,4/23/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N,17h30,,04
283,SOUTH AFRICA,4/22/2016,2016.0,Unprovoked,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,0,"No injury, surf-ski bitten",N,08h00,White shark,04
284,AUSTRALIA,4/19/2016,2016.0,Unprovoked,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark,04
287,USA,4/13/2016,2016.0,Unprovoked,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,Multiple bites to right arm,N,,"Bull shark, 7'",04
288,NEW CALEDONIA,4/9/2016,2016.0,Unprovoked,Grand Terre,Poe Beach,Walking,F,69,FATAL,Y,10h45,"Tiger shark, 2.5 m",04
290,USA,4/7/2016,2016.0,Unprovoked,Florida,"Florida Keys, Monroe County",Fishing,M,34,Left hand bitten,N,,5' to 6' shark,04
292,USA,3/31/2016,2016.0,Unprovoked,Hawaii,"Olowalu, Maui",Snorkeling,F,46,Minor injury to left foot,N,11h00,,03
293,AUSTRALIA,3/30/2016,2016.0,Unprovoked,New South Wales,Bombo Beach,Surfing,M,22,Severe injury to thigh,N,19h00,,03
294,USA,3/28/2016,2016.0,Unprovoked,Florida,"Fort Myers Beach, Lee County",other,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,N,,Shark involvement not confirmed,03
295,AUSTRALIA,3/28/2016,2016.0,Unprovoked,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N,11h00,,03
298,USA,3/11/2016,2016.0,Unprovoked,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,Lacerations to right foot and ankle,N,13h30,,03
299,Fiji,3/10/2016,2016.0,Unprovoked,Vanua Levu,other,Diving for beche-de-mer,M,45,FATAL,Y,Afternoon,,03
300,USA,3/4/2016,2016.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",other,M,12,Superficial injury to foot,N,Afternoon,,03
301,AUSTRALIA,Reported 03-Mar-2016,2016.0,Unprovoked,South Australia,Wrights Bay,Fishing,M,0,Puncture wounds to right calf,N,Midnight,Bronze whaler,03
302,BRAZIL,3/2/2016,2016.0,Unprovoked,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,41,Minor injury to head,N,,Sandtiger shark,03
303,NEW CALEDONIA,2/22/2016,2016.0,Unprovoked,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,Puncture wounds to right thigh,N,19h00,,02
304,NEW CALEDONIA, 19-Feb-2016,2016.0,Unprovoked,South Province,Yate,Spearfishing,M,31,Forearm bitten,N,16h00,,02
305,DOMINICAN REPUBLIC,2/12/2016,2016.0,Unprovoked,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,F,0,Avulsion injury to lower leg,N,15h00,,02
308,AUSTRALIA,2/5/2016,2016.0,Unprovoked,Queensland,Stradbroke Island,Walking,F,45,Foot nipped,N,13h20,,02
309,AUSTRALIA,2/4/2016,2016.0,Unprovoked,New South Wales,Hams Beach,Windsurfing,M,40,"No injury, shark bit board",N,Late afternoon,,02
310,BRAZIL,2/2/2016,2016.0,Unprovoked,Balneário Camboriú,Estaleirinho beach,Swimming,M,41,Lacerations to scalp,N,,Sandtiger shark,02
312,USA,1/28/2016,2016.0,Unprovoked,Hawaii,"Hanalei Bay, Kauai",Surfing,M,0,Lacerations to both hands,N,14h00,"Reef shark, 5'",01
313,USA,1/25/2016,2016.0,Unprovoked,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,No injury,N,11h30,,01
314,USA,1/24/2016,2016.0,Unprovoked,Texas,Off Surfside,Spearfishing,M,0,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,Bull sharks x 2,01
316,USA,1/23/2016,2016.0,Unprovoked,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,No injury,N,Morning,"Tiger shark, 14'",01
317,AUSTRALIA,Reported 11-Jan-2016,2016.0,Unprovoked,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,0,Laceration to right foot,N,,Wobbegong shark,01
318,AUSTRALIA,1/5/2016,2016.0,Unprovoked,Queensland,Heron Island,Wading,M,11,Laceration to right calf,N,Afternoon,Blacktip shark,01
319,AUSTRALIA,1/2/2016,2016.0,Unprovoked,Queensland,Miall Island,Spearfishing,M,31,Lacerations to arms & leg,N,11h30,3 m shark,01
321,SPAIN,12/25/2015,2015.0,Unprovoked,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,Lacerations to left forearm,N,,"Silky shark, 6.5'",12
322,USA,12/22/2015,2015.0,Unprovoked,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,"No injury, shark bit board",N,Morning,9' shark,12
323,AUSTRALIA,12/21/2015,2015.0,Unprovoked,New South Wales,Bondi Beach,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'",12
324,BRAZIL,12/21/2015,2015.0,Unprovoked,Pernambuco,Fernano de Noronha,Scuba diving,M,32,Right hand & part of forearm removed,N,,"Tiger shark, 1.5 m ",12
325,ARUBA,12/19/2015,2015.0,Unprovoked,other,Boat capsized,Sea disaster,M,58,FATAL,Y,,,12
327,BAHAMAS,12/11/2015,2015.0,Unprovoked,other,Off Andros Island,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N,,Bull shark,12
328,SOUTH AFRICA,12/8/2015,2015.0,Unprovoked,Eastern Cape Province,Mpande,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning,,12
329,ECUADOR,11/20/2015,2015.0,Unprovoked,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,55,Lacerations to left calf,N,10h15,Galapagos shark,11
330,USA,11/16/2015,2015.0,Unprovoked,Florida,"Playalinda Beach, Brevard County",Surfing,M,0,Right heel injured,N,Afternoon,,11
331,USA,11/15/2015,2015.0,Unprovoked,Florida,"Palm Beach, Palm Beach County",Swimming,F,0,Leg injured,N,11h00,,11
332,USA,11/15/2015,2015.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,Lacerations to hand,N,,"Spinner shark, 7'",11
333,AUSTRALIA,11/10/2015,2015.0,Unprovoked,New South Wales,East Ballina,Surfing,M,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m",11
335,USA,11/3/2015,2015.0,Unprovoked,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,Laceration to right ankle,N,11h00,,11
336,USA,11/1/2015,2015.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark,11
337,MOZAMBIQUE,11/1/2015,2015.0,Unprovoked,Inhambane Province,Maxixe,Fishing,M,19,"Arms severely injured, surgically amputated",N,04h00,,11
338,AUSTRALIA,10/30/2015,2015.0,Unprovoked,Western Australia,Bald Island,Spearfishing,M,50,Minor injury,N,,,10
339,USA,10/28/2015,2015.0,Unprovoked,Hawaii,"Malaka, Oahu",Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,,10
340,SOUTH AFRICA,10/25/2015,2015.0,Unprovoked,Western Cape Province,Stil Bay,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m ",10
341,USA,10/21/2015,2015.0,Unprovoked,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,Lacerations to left hand,N,14h30,5' shark,10
342,USA,10/19/2015,2015.0,Unprovoked,Florida,"Deerfield Beach, Broward County",Surfing,M,21,Left foot bitten,N,13h50,"Spinner shark, 5'",10
343,MOZAMBIQUE,10/17/2015,2015.0,Unprovoked,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,FATAL,Y,,,10
345,USA,10/17/2015,2015.0,Unprovoked,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30,"Tiger shark, 7'",10
347,USA,10/9/2015,2015.0,Unprovoked,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,Laceration to forearm,N,16h20,,10
348,USA,10/9/2015,2015.0,Unprovoked,Hawaii,"Leftovers, Oahu",Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' ",10
349,MOZAMBIQUE,10/8/2015,2015.0,Unprovoked,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,0,"Arm severely injured, surgically amputated",N,,,10
350,AUSTRALIA,10/7/2015,2015.0,Unprovoked,Western Australia,Pyramids Beach,Surfing,M,18,Foot injured,N,16h50,,10
351,USA,10/5/2015,2015.0,Unprovoked,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,2 lacerations to ankle,N,13h00,,10
352,USA,10/5/2015,2015.0,Unprovoked,Texas,Galveston,Wading,M,13,Foot & hands bitten,N,10h00,4' to 5' shark,10
353,USA,10/4/2015,2015.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'",10
354,USA,9/29/2015,2015.0,Unprovoked,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'",09
355,AUSTRALIA,9/26/2015,2015.0,Unprovoked,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,Laceration to leg,N,Afternoon,,09
357,USA,9/20/2015,2015.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor injury to left ankle,N,16h45,juvenile shark,09
358,USA,9/20/2015,2015.0,Unprovoked,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'",09
359,USA,9/20/2015,2015.0,Unprovoked,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,Significant injuries to leg,N,12h30,4' shark,09
360,USA,9/20/2015,2015.0,Unprovoked,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,Injury to right hand / wrist,N,07h30,,09
362,USA,9/18/2015,2015.0,Unprovoked,Florida,"Big Talbot Island, Duval County",Swimming,M,0,Lacerations to calf,N,19h00,,09
363,USA,9/17/2015,2015.0,Unprovoked,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Injury to right foot,N,15h00,,09
364,AUSTRALIA,9/8/2015,2015.0,Unprovoked,New South Wales,North Shelly Beach,Surfing,M,42,Minor laceration to hand,N,06h15,6' shark,09
365,USA,9/6/2015,2015.0,Unprovoked,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'",09
367,AUSTRALIA,9/4/2015,2015.0,Unprovoked,New South Wales,Hallidays Point,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m",09
368,USA,9/3/2015,2015.0,Unprovoked,South Carolina,"Myrtle Beach, Horry County",other,M,0,Right foot bitten,N,16h00,4' shark?,09
369,THAILAND,9/1/2015,2015.0,Unprovoked,Phuket,Karon Beach,Wading,F,37,Left foot & ankle bitten,N,08h30,small shark,09
370,FIJI,9/15/2022,2015.0,Unprovoked,other,other,Spearfishing,M,0,Leg bitten,N,,Tiger shark,09
371,USA,8/29/2015,2015.0,Unprovoked,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'",08
372,USA,8/29/2015,2015.0,Unprovoked,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12' ",08
374,AUSTRALIA,8/22/2015,2015.0,Unprovoked,New South Wales,Lighthouse Beach,Surfing,M,38,Severe laceration to left buttock & thigh,N,17h10,,08
375,USA,8/20/2015,2015.0,Unprovoked,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30,4' shark,08
376,USA,8/19/2015,2015.0,Unprovoked,Florida,"Jacksonville Beach, Duval County",Walking,F,10,Lacerations to right leg,N,15h30,3' shark,08
380,AUSTRALIA,7/31/2015,2015.0,Unprovoked,New South Wales,Evans Head,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark,07
381,COSTA RICA,7/28/2015,2015.0,Unprovoked,Guanacaste,Playa Grande,Surfing,M,47,Minor inuries to toes,N,,,07
383,USA,7/26/2015,2015.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Surfing,M,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'",07
385,AUSTRALIA,7/25/2015,2015.0,Unprovoked,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,FATAL,Y,10h00,"White shark, 3.9 to 4.2 m",07
387,AUSTRALIA,7/23/2015,2015.0,Unprovoked,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,Left hand bitten,N,,"Bronze whaler shark, 1.5m",07
388,REUNION,7/22/2015,2015.0,Unprovoked,other,St. Leu,Surfing,M,45,Arm bitten,N,,"Bull shark, 2m",07
389,SOUTH AFRICA,7/19/2015,2015.0,Unprovoked,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N,,White shark,07
390,USA,7/10/2015,2015.0,Unprovoked,California,"Huntington Beach, Orange County",Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'",07
393,BAHAMAS,7/4/2015,2015.0,Unprovoked,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,Lacerations to lower leg & ankle,N,,6' shark,07
394,USA,7/4/2015,2015.0,Unprovoked,North Carolina,"Off Surf City, Pender County",other,M,32,Lacerations to right hand & forearm,N,Evening,,07
395,AUSTRALIA,7/3/2015,2015.0,Unprovoked,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N,09h00,White shark,07
396,AUSTRALIA,7/2/2015,2015.0,Unprovoked,New South Wales,East Ballina,Body boarding ,M,32,Significant injuries to lower legs,N,09h00,White shark,07
397,USA,7/1/2015,2015.0,Unprovoked,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark,07
398,AUSTRALIA,6/30/2015,2015.0,Unprovoked,New South Wales,"Flat Rock, Yamba",Surfing,M,0,Hand bitten,N,,,06
399,USA,6/30/2015,2015.0,Unprovoked,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark,06
400,USA,6/27/2015,2015.0,Unprovoked,North Carolina,"Rodanthe, Dare County",Swimming,M,18,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark,06
401,SOUTH AFRICA,6/27/2015,2015.0,Unprovoked,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark,06
403,SOUTH AFRICA,6/26/2015,2015.0,Unprovoked,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m",06
404,USA,6/26/2015,2015.0,Unprovoked,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,Puncture wounds to foot,N,11h00,4' shark,06
406,USA,6/25/2015,2015.0,Unprovoked,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,Multiple lacerations to back,N,11h41,,06
407,USA,6/24/2015,2015.0,Unprovoked,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,N,12h25,Sandtiger shark,06
409,USA,6/23/2015,2015.0,Unprovoked,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,N,,small shark,06
410,PUERTO RICO,6/19/2015,2015.0,Unprovoked,other,Off Cabo Rojo,Spearfishing,M,36,Injury to hand,N,Morning,,06
411,USA,6/17/2015,2015.0,Unprovoked,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,N,13h00,,06
412,USA,6/14/2015,2015.0,Unprovoked,North Carolina,"Oak Island, Brunswick County",Wading,M,16,Arm amputated below shoulder,N,17h51,Bull shark,06
413,USA,6/14/2015,2015.0,Unprovoked,North Carolina,"Oak Island, Brunswick County",Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark,06
