country,year,area,activity,sex,age,fatal_y_n,month,hemisph,Season
USA,2011.0,South Carolina,Jumping in the waves,M,5,N,9,North,fall
USA,2011.0,Florida,Surfing,M,25,N,9,North,fall
USA,2011.0,California,Surfing,M,37,N,9,North,fall
USA,2011.0,Hawaii,Surfing,UNKNOWN,0,N,9,North,fall
USA,2011.0,Florida,Surfing,M,19,N,9,North,fall
USA,2011.0,Florida,Surfing,M,19,N,8,North,summer
USA,2011.0,Texas,Wade Fishing,F,39,N,8,North,summer
USA,2011.0,North Carolina,Surfing,M,21,N,8,North,summer
USA,2011.0,North Carolina,other,M,10,N,8,North,summer
USA,2011.0,North Carolina,Wading,F,20s,N,8,North,summer
USA,2011.0,Puerto Rico,Floating ,M,27,N,8,North,summer
USA,2011.0,North Carolina,Swimming,M,54,N,8,North,summer
USA,2011.0,New Jersey,Wade Fishing,M,0,N,7,North,summer
USA,2011.0,North Carolina,Boogie Boarding,F,6,N,7,North,summer
USA,2011.0,Texas,Surf fishing,M,0,N,7,North,summer
USA,2011.0,Texas,Swimming,M,12,N,7,North,summer
USA,2011.0,Texas,Wade Fishing,M,14,N,7,North,summer
USA,2011.0,North Carolina,Playing in the surf,F,10,N,6,North,summer
USA,2011.0,California,Surfing,M,0,N,6,North,summer
USA,2011.0,Florida,Jet skiing,M,20,N,6,North,summer
USA,2011.0,Florida,Scuba diving,M,28,N,6,North,summer
USA,2011.0,California,Spearfishing,M,28,N,6,North,summer
USA,2011.0,Florida,Wading,M,19,N,6,North,summer
USA,2011.0,Texas,Standing or boogie boardin,F,22,N,5,North,spring
USA,2011.0,Hawaii,Surfing,F,0,N,5,North,spring
USA,2011.0,Hawaii,Paddle boarding,F,0,N,5,North,spring
USA,2011.0,Florida,Body surfing,M,86,N,5,North,spring
USA,2011.0,Florida,Surfing,M,37,N,5,North,spring
USA,2011.0,Florida,Spearfishing,M,32,N,4,North,spring
USA,2011.0,Florida,Surfing ,M,49,N,4,North,spring
USA,2010.0,Hawaii,Body boarding,M,16,N,12,North,winter
USA,2010.0,Hawaii,Surfing,M,46,N,12,North,winter
USA,2010.0,Oregon,Surfing,M,0,N,10,North,fall
USA,2010.0,Maine,Scuba diving,M,30,N,10,North,fall
USA,2010.0,California,Body boarding,M,19,Y,10,North,fall
USA,2010.0,Oregon,Surfing,M,29,N,9,North,fall
USA,2010.0,Virginia,Surfing,M,18,N,9,North,fall
USA,2010.0,Florida,Swimming,M,27,N,9,North,fall
USA,2010.0,Florida,Surfing,M,0,N,9,North,fall
USA,2010.0,Florida,Surfing,M,24,N,9,North,fall
USA,2010.0,Florida,Surfing,M,24,N,9,North,fall
USA,2010.0,Florida,Boogie Boarding,M,10,N,8,North,summer
USA,2010.0,North Carolina,Surfing,M,25,N,8,North,summer
USA,2010.0,Florida,Standing,F,37,N,8,North,summer
USA,2010.0,South Carolina,Standing,M,16,N,7,North,summer
USA,2010.0,Florida,Surfing,M,20,N,7,North,summer
USA,2010.0,South Carolina,Swimming,M,10,N,7,North,summer
USA,2010.0,North Carolina,Swimming,F,13,N,7,North,summer
USA,2010.0,Florida,Surfing,M,55,N,7,North,summer
USA,2010.0,Texas,Fishing,M,0,N,7,North,summer
USA,2010.0,California,Surfing,M,19,N,7,North,summer
USA,2010.0,California,Stand-Up Paddleboarding,M,48,N,7,North,summer
USA,2010.0,Texas,Surfing,M,20,N,6,North,summer
USA,2010.0,South Carolina,Boogie Boarding,F,6,N,6,North,summer
USA,2010.0,North Carolina,Swimming,F,13,N,6,North,summer
USA,2010.0,Florida,Boogie Boarding,F,18,N,6,North,summer
USA,2010.0,Florida,Surfing,M,20,N,6,North,summer
USA,2010.0,Florida,Wading,F,10,N,5,North,spring
USA,2010.0,Hawaii,Surfing,M,68,N,4,North,spring
USA,2010.0,Florida,Kite Boarding,M,38,Y,2,North,winter
USA,2010.0,Florida,Spearfishing,M,32,N,1,North,winter
USA,2009.0,Florida,Wading,M,10,N,11,North,winter
USA,2009.0,California,Fishing,M,31,N,11,North,winter
USA,2009.0,Florida,Surfing,M,22,N,11,North,winter
USA,2009.0,Florida,Surfing,F,27,N,11,North,winter
USA,2009.0,Florida,Surfing,M,18,N,11,North,winter
USA,2009.0,California,Surfing,M,21,N,11,North,winter
USA,2009.0,California,Surfing,M,0,N,10,North,fall
USA,2009.0,Hawaii,Surfing,M,54,N,10,North,fall
USA,2009.0,California,Surfing,M,0,N,10,North,fall
USA,2009.0,Florida,Swimming,M,0,N,9,North,fall
USA,2009.0,California,Surfing,M,0,N,8,North,summer
USA,2009.0,California,Swimming,F,22,N,8,North,summer
USA,2009.0,Florida,Swimming,M,26,N,8,North,summer
USA,2009.0,Hawaii,Surfing,M,0,N,8,North,summer
USA,2009.0,Louisiana,Wade Fishing,M,56,N,8,North,summer
USA,2009.0,Texas,Wading,F,14,N,7,North,summer
USA,2009.0,North Carolina,Swimming,F,26,N,7,North,summer
USA,2009.0,Florida,Swimming,F,19,N,7,North,summer
USA,2009.0,California,Paddle-surfing,M,0,N,7,North,summer
USA,2009.0,Florida,Boogie Boarding,F,12,N,7,North,summer
USA,2009.0,Florida,Surfing,M,31,N,5,North,spring
USA,2009.0,Florida,Surfing,M,49,N,5,North,spring
USA,2009.0,Florida,Surfing,M,55,N,5,North,spring
USA,2009.0,Florida,other,F,0,N,4,North,spring
USA,2009.0,California,Surfing,M,0,N,4,North,spring
USA,2009.0,Florida,Surfing,M,20,N,4,North,spring
USA,2009.0,Florida,Surfing,M,52,N,4,North,spring
USA,2009.0,Florida,Surfing,M,31,N,4,North,spring
USA,2009.0,California,Spearfishing,M,0,N,4,North,spring
USA,2009.0,Florida,Wading,M,15,N,4,North,spring
USA,2009.0,Florida,Surfing,F,17,N,3,North,spring
USA,2009.0,Hawaii,Swimming,M,61,N,3,North,spring
USA,2008.0,Florida,Fishing,M,11,N,10,North,fall
USA,2008.0,Florida,Surfing,M,44,N,9,North,fall
USA,2008.0,Florida,Surfing,M,40,N,9,North,fall
