Country,Year,Area,Activity,Sex,Age,Fatal_Y_N,month,hemisph,Season
USA,2015,North Carolina,other,M,32,N,7,North,summer
AUSTRALIA,2015,New South Wales,Surfing,M,52,N,7,South,winter
AUSTRALIA,2015,New South Wales,Body boarding ,M,32,N,7,South,winter
USA,2015,North Carolina,Swimming,M,68,N,7,North,summer
AUSTRALIA,2015,New South Wales,Surfing,M,0,N,6,South,winter
USA,2015,South Carolina,Playing in the water,M,12,N,6,North,summer
USA,2015,North Carolina,Swimming,M,18,N,6,North,summer
SOUTH AFRICA,2015,Western Cape Province,Body Boarding,M,19,N,6,South,winter
SOUTH AFRICA,2015,Western Cape Province,Surfing,M,23,N,6,South,winter
USA,2015,South Carolina,Standing,M,43,N,6,North,summer
USA,2015,North Carolina,Body surfing?,M,47,N,6,North,summer
USA,2015,North Carolina,Swimming,M,6,N,6,North,summer
USA,2015,South Carolina,Standing,M,9,N,6,North,summer
PUERTO RICO,2015,other,Spearfishing,M,36,N,6,North,summer
USA,2015,Florida,Swimming,M,10,N,6,North,summer
USA,2015,North Carolina,Wading,M,16,N,6,North,summer
USA,2015,North Carolina,Wading,F,12,N,6,North,summer
USA,2015,California,other,F,0,N,6,North,summer
USA,2015,North Carolina,Boogie boarding,F,13,N,6,North,summer
USA,2015,Florida,Playing,M,11,N,6,North,summer
USA,2015,Florida,Attempting to rescue a shark,F,17,N,6,North,summer
REUNION,2015,Le Port,Surfing,M,47,N,6,South,winter
USA,2015,Florida,Standing,F,14,N,5,North,spring
USA,2015,Florida,Wading,F,19,N,5,North,spring
FRENCH POLYNESIA,2015,Rangiroa,Spearfishing,M,19,N,5,South,fall
USA,2015,Florida,Swimming,F,13,N,5,North,spring
USA,2015,Florida,Surfing,M,18,N,5,North,spring
USA,2015,South Carolina,other,M,30,N,5,North,spring
NEW CALEDONIA,2015,other,Snorkeling,M,50,Y,5,South,fall
USA,2015,Florida,Swimming,M,0,N,5,North,spring
AUSTRALIA,2015,New South Wales,Surfing,M,0,N,5,South,fall
SOUTH AFRICA,2015,Eastern Cape Province,Diving,M,29,N,5,South,fall
USA,2015,Hawaii,Snorkeling,F,65,Y,4,North,spring
USA,2015,Florida,Wading,M,63,N,4,North,spring
AUSTRALIA,2015,South Australia,Surfing,M,26,N,4,South,fall
AUSTRALIA,2015,New South Wales,Surf skiing ,M,71,N,4,South,fall
USA,2015,Florida,Photographing the shark,M,48,N,4,North,spring
REUNION,2015,Saint-Gilles-les-Bains,Surfing,M,13,Y,4,South,fall
AUSTRALIA,2015,New South Wales,Paddle boarding,M,0,N,4,South,fall
USA,2015,Florida,Spearfishing,M,70,N,4,North,spring
EGYPT,2015,other,Swimming,M,52,Y,3,North,spring
USA,2015,Hawaii,Standing / Snorkeling,M,58,N,3,North,spring
FRENCH POLYNESIA,2015,Bora Bora,Hand feeding sharks,M,9,N,3,South,fall
FRENCH POLYNESIA,2015,Central Tuamotu,Sitting in the water,M,18 months,N,3,South,fall
REUNION,2015,d’Étang-Salé,Swimming,F,22,Y,2,South,summer
AUSTRALIA,2015,New South Wales,Surfing,M,41,Y,2,South,summer
AUSTRALIA,2015,New South Wales,Surfing,M,35,N,2,South,summer
AUSTRALIA,2015,New South Wales,Bodysurfing,M,0,N,2,South,summer
AUSTRALIA,2015,New South Wales,Surfing,M,0,N,1,South,summer
SOUTH AFRICA,2015,Eastern Cape Province,Floating,M,24,N,1,South,summer
AUSTRALIA,2015,New South Wales,Filming,M,17,N,1,South,summer
BAHAMAS,2015,Abaco Islands,Snorkeling,F,34,N,1,North,winter
SOUTH AFRICA,2015,Eastern Cape Province,Surfing,M,15,N,1,South,summer
USA,2015,Florida,other,M,12,N,1,North,winter
AUSTRALIA,2014,New South Wales,Surfing,UNKNOWN,0,N,12,South,summer
AUSTRALIA,2014,Western Australia,Spearfishing,M,17,Y,12,South,summer
USA,2014,California,Surfing,M,50,N,12,North,winter
AUSTRALIA,2014,Queensland,Spearfishing,M,17,Y,12,South,summer
AUSTRALIA,2014,Western Australia,Surfing,M,13,N,11,South,summer
USA,2014,Florida,Surfing,M,44,N,11,North,winter
USA,2014,Hawaii,Snorkeling,M,53,N,11,North,winter
AUSTRALIA,2014,New South Wales,Surfing,M,0,N,11,South,summer
USA,2014,Florida,Surfing,M,18,N,11,North,winter
USA,2014,Hawaii,Surfing,F,34,N,10,North,fall
USA,2014,Hawaii,Stand-Up Paddleboarding,F,0,N,10,North,fall
USA,2014,Hawaii,Stand-Up Paddleboarding,M,0,N,10,North,fall
USA,2014,Hawaii,Surfing,M,0,N,10,North,fall
AUSTRALIA,2014,New South Wales,Surfing,F,13,N,10,South,spring
USA,2014,South Carolina,Standing in inner tube,F,7,N,10,North,fall
USA,2014,Florida,Body surfing or Boogie boarding,F,0,N,10,North,fall
USA,2014,Florida,Surfing,M,29,N,10,North,fall
USA,2014,Florida,Fishing,F,40,N,10,North,fall
USA,2014,Florida,Surfing,M,15,N,10,North,fall
USA,2014,California,Surfing,M,28,N,10,North,fall
AUSTRALIA,2014,Western Australia,Surfing,M,23,N,10,South,spring
USA,2014,Florida,Surfing,M,0,N,9,North,fall
FRENCH POLYNESIA,2014,Moorea,Feeding fish,F,36,N,9,South,spring
AUSTRALIA,2014,New South Wales,Swimming,M,50,Y,9,South,spring
USA,2014,Alabama,Fishing ,M,43,N,9,North,fall
SPAIN,2014,Catalonia,Playing with an air mattress,M,16,N,9,North,fall
USA,2014,Florida,Body surfing,F,13,N,8,North,summer
USA,2014,Florida,Surfing,M,17,N,8,North,summer
SPAIN,2014,Alicante,Swimming,F,30s,N,8,North,summer
USA,2014,North Carolina,Surfing,M,29,N,8,North,summer
USA,2014,South Carolina,Standing,F,0,N,8,North,summer
USA,2014,North Carolina,Kite boarding,UNKNOWN,0,N,8,North,summer
AUSTRALIA,2014,Western Australia,Spearfishing,M,31,N,8,South,winter
USA,2014,Florida,Standing,M,0,N,8,North,summer
USA,2014,Florida,other,M,26,N,8,North,summer
BAHAMAS,2014,other,Spearfishing,M,0,N,8,North,summer
USA,2014,Florida,Swimming,F,10,N,8,North,summer
USA,2014,Louisiana,Swimming,M,7,N,8,North,summer
USA,2014,South Carolina,Boogie boarding,M,10,N,8,North,summer
USA,2014,Florida,Swimming,F,45,N,8,North,summer
USA,2014,Florida,Surfing,M,50s,N,8,North,summer
USA,2014,Florida,Boogie boarding,M,8,N,8,North,summer
SOUTH AFRICA,2014,Western Cape Province,Surfing,M,20,N,8,South,winter
USA,2014,North Carolina,Swimming,M,Teen,N,7,North,summer
REUNION,2014,Saint-Leu,Surfing,M,51,N,7,South,winter
USA,2014,Florida,Standing,M,8,N,7,North,summer
SPAIN,2014,Canary Islands,Wading,UNKNOWN,0,N,7,North,summer
USA,2014,Hawaii,Swimming,M,61,N,7,North,summer
USA,2014,Florida,Swimming,M,39,N,7,North,summer
USA,2014,North Carolina,Body surfing,M,0,N,7,North,summer
USA,2014,Florida,Surfing,M,14,N,7,North,summer
USA,2014,California,Surfing,M,0,N,7,North,summer
USA,2014,South Carolina,Body surfing,M,19,N,7,North,summer
BAHAMAS,2014,Abaco Islands,Spearfishing,M,42,N,6,North,summer
AUSTRALIA,2014,South Australia,Surfing,M,0,N,6,South,winter
AUSTRALIA,2014,South Australia,Body boarding,M,15,N,6,South,winter
BRAZIL,2014,other,Fishing,M,43,N,6,South,winter
USA,2014,Delaware,Standing,M,16,N,6,North,summer
AUSTRALIA,2014,South Australia,Body boarding,M,39,N,6,South,winter
USA,2014,Texas,Kneeling in the water,F,14,N,6,North,summer
USA,2014,Florida,Swimming,F,22,N,6,North,summer
AUSTRALIA,2014,New South Wales,Surfing,M,0,N,6,South,winter
USA,2014,Palmyra Atoll,Tagging sharks,F,37,N,6,North,summer
