,Country,Month
1692,AUSTRALIA,03
1693,BRAZIL,02
1694,NEW ZEALAND,02
1695,AUSTRALIA,02
1697,EGYPT,02
1698,AUSTRALIA,02
1699,AUSTRALIA,01
1700,URUGUAY,01
1702,VENEZUELA,01
1703,VENEZUELA,01
1705,AUSTRALIA,01
1706,SOUTH AFRICA,01
1709,AUSTRALIA,00
1712,USA,12
1713,NEW ZEALAND,12
1714,AUSTRALIA,12
1715,AUSTRALIA,11
1716,AUSTRALIA,11
1717,SOUTH AFRICA,11
1718,USA,11
1719,INDIA,11
1720,USA,11
1721,EGYPT,11
1722,SOUTH AFRICA,11
1723,AUSTRALIA,11
1725,USA,10
1726,AUSTRALIA,10
1727,USA,10
1728,USA,10
1730,USA,10
1732,USA,10
1733,USA,10
1735,USA,10
1736,USA,10
1737,FIJI,09
1738,USA,09
1739,USA,09
1740,USA,09
1741,USA,09
1742,USA,09
1745,USA,09
1746,USA,09
1747,SOUTH AFRICA,09
1748,USA,09
1750,USA,08
1752,SOUTH AFRICA,08
1753,AUSTRALIA,07
1754,USA,07
1755,USA,07
1756,BAHAMAS,07
1758,USA,07
1759,BAHAMAS,07
1760,USA,07
1761,FRENCH POLYNESIA,07
1762,NEW ZEALAND,07
1763,USA,06
