Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
"ST HELENA, British overseas territory",7/24/2017,2017.0,Unprovoked,Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17h00,,07
USA,7/23/2017,2017.0,Unprovoked,New Jersey,Ventnor,other,F,0,Minor injury to hand,N,,Sandtiger shark  2',07
SPAIN,7/23/2017,2017.0,Unprovoked,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,0,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',07
USA,7/22/2017,2017.0,Unprovoked,Florida,"Snipes Point, Monroe County",other,F,40,Foot bitten,N,12h30,"""A small shark""",07
USA,7/20/2017,2017.0,Unprovoked,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",07
USA,7/14/2017,2017.0,Unprovoked,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,0,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",07
AUSTRALIA,7/14/2017,2017.0,Unprovoked,Western Australia,Floreat Beach,Surfing,M,0,"Minor injury, grazed by shark",N,11h45,,07
USA,7/9/2017,2017.0,Unprovoked,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",07
SOUTH AFRICA,7/7/2017,2017.0,Unprovoked,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",07
USA,6/21/2017,2017.0,Unprovoked,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,,06
USA,6/19/2017,2017.0,Unprovoked,Florida,"Singer Island, Palm Beach County",Surfing,M,0,1 to 2-inch laceration behind knee,N,Morning,,06
USA,6/18/2017,2017.0,Unprovoked,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'",06
REUNION,6/18/2017,2017.0,Unprovoked,other,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",06
